"Rata-Rata Tekanan Udara, Kecepatan Angin dan Lama Penyinaran Matahari Menurut Bulan di Provinsi Jawa Tengah, 2019  - 2021",,,,,,,,,,,,,,,,,,,,,,
"Average Atmospheric Pressure, Wind Velocity and Duration of Sunshine by Month in Jawa Tengah Province, 2019 - 2021",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Bulan
Month","Tekanan Udara
Atmospheric Pressure (mb) ",,,"Kecepatan Angin
Wind Velocity (Km/Jam)",,,"Penyinaran Matahari (persen)
Sunshine Duration (percent)",,,,,,,,,,,,,,,
,2019,2020,2021,2019,2020,2021,2019,2020,2021,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Januari/January,"1,009.7","1,009.7","1,008.4",5.6,5.1,4.8,47.0,55,34.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Februari/February,"1,011.3","1,010.3","1,009.0",4.4,10.3,6.8,68.0,46,39.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Maret/March,"1,010.1","1,010.0","1,009.2",4.5,4.6,4.4,53.0,64,68.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
April/April,"1,009.5","1,010.3","1,010.2",4.7,4.7,4.7,78.0,65,74.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Mei/May,"1,010.4","1,009.7","1,009.5",5.6,5.1,5,88.0,74,81.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Juni/June,"1,010.6","1,010.6","1,010.8",5.0,5.2,4.9,89.0,80,75.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Juli/July,"1,010.8","1,009.8","1,010.6",5.9,5.0,5,95.0,89,89.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Agustus/August,"1,012.2","1,010.6","1,011.3",6.1,6.0,6,98.0,92,91.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
September/September,"1,012.8","1,010.6","1,010.6",6.4,5.0,5,99.0,93,84.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Oktober/October,"1,010.8","1,009.9","1,010.2",5.6,5.0,5,97.0,67,85.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
November/November,"1,010.4","1,009.8","1,008.8",5.2,5.0,4,80.0,64,47.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Desember/December,"1,009.7","1,008.2","1,009.9",4.4,5.0,  4.00,66.0,47,47.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sumber/Source   : Stasiun Klimatologi Klas I, Semarang/Class I Climatology Station of Semarang",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,